max_iters,recall,qps,search_ms
4,0.658800,1800063.36,0.556
8,0.881700,876553.25,1.141
12,0.881700,504366.04,1.983
16,0.881700,349582.14,2.861
20,0.881700,265912.47,3.761
24,0.881700,216643.60,4.616
32,0.881700,159163.28,6.283
48,0.881700,149901.69,6.671
64,0.881700,149922.45,6.670
